generation	avg fitness	delta fitness	least fit	fitness breach	fittest	variance
0	11.46051122745005	0.8447207918665658	4.996900088163313	14.546143350255653	19.543043438418966	4.258094010330874
500	29.990978242091586	-0.004467966514923205	11.167900384948341	19.670290235046785	30.838190619995125	4.292653509193846
1000	30.837566283284914	0.007979136488117433	14.521701684175348	17.05005874514846	31.571760429323806	3.3401709578482124
1500	30.972260628376173	0.02109343171162692	13.930661112933691	17.721766414415463	31.652427527349154	2.970095202640765
2000	30.961717451333616	0.023011719321438306	16.246486260292674	15.40594126705648	31.652427527349154	3.1303566560124327
2500	30.940401174635678	0.05879414293294616	15.161718232139943	16.49070929520921	31.652427527349154	3.157444139295954
3000	31.852001391912165	-0.07028484089280695	14.71682694281119	17.92145990798668	32.63828685079787	3.8110536957451537
3500	31.957617447863193	0.08208966140099605	15.432634080854912	17.205652769942958	32.63828685079787	3.329790610441375
4000	31.753859921769017	-0.07479765799900306	14.404445958273802	18.233840892524064	32.63828685079787	4.43404335415495
4500	31.887977341458253	-0.020505944673949728	14.948595008937998	17.68969184185987	32.63828685079787	3.6645170314119655
5000	31.89944013579532	0.10389838920670869	16.436206920268496	16.202079930529372	32.63828685079787	3.536405855026177
5500	31.86183960145189	0.02443218894597976	16.309077455025175	16.329209395772693	32.63828685079787	3.7118566166650147
6000	31.897161178264213	0.05433549508601487	13.576176971160391	19.062109879637475	32.63828685079787	3.6549102842181376
6500	31.900981235052303	0.013938715322776574	15.438825837119634	17.339656965755356	32.77848280287499	4.772796783492548
7000	31.952102100877738	0.0022022697362693577	16.293166300129112	16.503308355164787	32.7964746552939	4.129308068935644
7500	32.0462790724519	0.04554616083763818	15.242937495644364	17.553537159649537	32.7964746552939	3.6227352967336284
8000	31.99903697612263	0.04239117116034663	13.781784714620986	19.014689940672913	32.7964746552939	3.8329873097081935
8500	31.96371902073608	0.015165339257038113	15.323332154254445	17.473142501039455	32.7964746552939	3.972254900717703
9000	32.03051574908927	-0.030573320131999537	17.90241881263098	14.894055842662919	32.7964746552939	3.7529495896058847
9500	32.0165552286253	0.039338674524749706	16.304388686947515	16.492085968346384	32.7964746552939	3.733987863211379
10000	32.204850120236166	-0.026709246404500675	13.544848504420383	19.297646114581493	32.842494619001876	3.2485990362692427
10500	32.01973279105897	-0.05911372126534786	15.626388872803618	17.21610574619826	32.842494619001876	4.224073673582485
11000	32.87642264711459	0.08287731537057397	15.643072013857624	18.33407481226088	33.977146826118506	7.310106870610482
11500	33.50624040847064	-0.06355365171431515	16.393644849463357	17.955458644707512	34.34910349417087	4.127701469327099
12000	33.47406436721138	0.022307227522873063	14.117354137233304	20.231749356937563	34.34910349417087	4.2940669610891
12500	33.5158967584896	0.005087046321037292	14.979646218219397	19.369457275951472	34.34910349417087	4.184142180795152
13000	33.51058937658857	0.009672399234041507	10.160620317496234	24.188483176674637	34.34910349417087	4.161099426941789
13500	33.520755350159554	0.013915372203982201	16.9818992180677	17.36720427610317	34.34910349417087	4.020461395659872
14000	33.57115664623103	0.020806778912529467	16.03210677354425	18.31699672062662	34.34910349417087	3.797875322335962
14500	33.448428784151524	-0.009156482457839843	16.202571859990417	18.14653163418045	34.34910349417087	4.39820396989746
15000	33.57599604405034	-0.04917716242039205	14.01370018747787	20.335403306693	34.34910349417087	3.834284569931154
15500	33.53296279847691	-0.02883811832204941	17.183609337258506	17.165494156912363	34.34910349417087	3.959566364690125
16000	33.565440454623655	-0.06252358496247723	15.853312234239711	18.49579125993116	34.34910349417087	3.8324740403487594
16500	33.56878044005144	-0.005701798369621258	17.186549276138425	17.162554218032444	34.34910349417087	3.8214543317063137
17000	33.498667313344285	0.02128034861635797	14.849193111699744	19.499910382471125	34.34910349417087	4.164848246851205
17500	33.56412843416925	-0.06205357441267978	16.917547117536923	17.431556376633946	34.34910349417087	4.000489034438409
18000	33.53480909359779	0.07155058424660865	17.162827950662408	17.18627554350846	34.34910349417087	3.9174246769958607
18500	33.55305891996306	-0.09405114890120814	14.666105211238293	19.682998282932576	34.34910349417087	3.7923758419208666
19000	33.57267613210617	0.0401434707302144	18.321950610894564	16.027152883276305	34.34910349417087	3.7861852792807715
19500	33.59243062797091	0.06603296803935166	15.770227892897534	18.578875601273335	34.34910349417087	3.7662752901808894
20000	33.56052060067383	-0.009063325473505301	17.881281774879476	16.467821719291393	34.34910349417087	3.856483122015572
20500	33.53154405472531	0.1093530124171167	16.519343425593934	17.837128071766234	34.35647149736017	4.67882419804661
21000	33.44689781440962	0.014091942700616755	15.145456833987167	19.211014663373	34.35647149736017	5.2542859102544215
21500	34.26435206425678	-0.0017060706934373115	22.922810205545183	11.64794898462285	34.57075919016803	0.828226084105891
