generation	avg fitness	delta fitness	least fit	fitness breach	fittest	variance
0	11.570089354307836	1.0294384426971455	5.773503624807839	15.26865010157403	21.04215372638187	3.772867721109586
500	30.94868023392376	0.04813723296717498	17.4941640223849	13.967678009768605	31.461842032153505	2.1816813191341864
1000	31.554155798809095	0.024673642552624386	14.60448162266175	17.558045824701907	32.16252744736366	3.0713931431806443
1500	32.12452217756961	0.002897133213529912	14.480604688163208	18.683452510319785	33.16405719848299	6.832071752138365
2000	32.106836900962534	-0.06794350307791319	11.934816852942975	21.22924034554002	33.16405719848299	6.794320581358925
2500	32.156520016684325	-0.009567570211949317	15.563725348743011	17.60033184973998	33.16405719848299	6.490879262956012
3000	32.10434985224255	0.022907478982446605	12.637935568658321	20.526121629824672	33.16405719848299	6.865102225561511
3500	32.079615777634935	0.00619343219136681	15.300058035736381	17.863999162746612	33.16405719848299	7.033228051333575
4000	32.19438043722945	-0.013547027365696351	15.061056859168767	18.103000339314228	33.16405719848299	6.213139978832364
4500	32.21925949006723	0.015514608026059307	13.51184302974276	19.652214168740233	33.16405719848299	6.128742874653293
5000	32.87473455182408	0.010349459353363955	18.1744911555177	15.312518347719035	33.487009503236735	3.02918814496028
5500	33.350710927352985	0.014728981085596615	17.507457180840497	16.410592417410278	33.918049598250775	2.9016618195173325
6000	33.251165573118485	0.0018663371553060415	14.772572227940273	19.356830399191836	34.12940262713211	5.115213155079249
6500	33.29465955747612	-0.06509715907642999	14.25732840603638	19.87207422109573	34.12940262713211	4.884000658733348
7000	33.2884792785456	-0.021366539154890063	15.21440674363006	18.91499588350205	34.12940262713211	4.830897621145209
7500	33.98850372116023	-0.04590636835883544	17.817795253577277	16.773643951054854	34.59143920463213	3.246978575006305
8000	33.93736442990009	-0.05164045379918747	13.62229273238338	20.969146472248752	34.59143920463213	3.699914680103119
8500	34.00451250573388	0.017619105264138568	18.299421941951657	16.292017262680474	34.59143920463213	3.033720330570002
9000	34.04369787955341	-0.005023680369419026	15.485853618413199	19.105585586218933	34.59143920463213	2.833895282628798
9500	34.31413947548985	0.016504951511180366	16.54651585535765	18.04492335815615	34.5914392135138	0.8421120403980844
